"","Text","Retweets","Favorited"
"132","RT @DocInRealLife: I'm watching the the Super Bowl, when my TV goes skittering out! WHAT CHAOS! It's just a commercial WHAT MARKETING BY CH…","204","FALSE"
"133","RT @kenthinguy: If you're going to have a Steve Buscemi cameo, you need to end the commercial by putting a Snickers in a woodchipper.","3","FALSE"
"134","So many things wrong with that skittles commercial. Who actually like the yellow skittle ?????","1","FALSE"
"135","@KCBrash why wasn't Talbert in that skittles commercial?","0","FALSE"
"136","If a Super Bowl commercial doesn't have an old, poor quality sound clip in it, is it really a Super Bowl commercial?","0","FALSE"
"137","The skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Cmon man<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>smh","0","FALSE"
"138","that was a ol dumb ass commercial just now .","0","FALSE"
"139","This skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"140","What is the hell was that Skittles commercial.  What","0","FALSE"
"141","Those people in the skittles commercial most jack off a lot.","0","FALSE"
"142","Did they mention the poop deck on that Carnival Cruise commercial? I wasn't paying close attention. #sbads","0","FALSE"
"143","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> the skittles commercial","0","FALSE"
"144","RT @NikoWavy: LMAOOOOOOOOO SKITTLES COMMERCIAL<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","26","FALSE"
"145","The skittles commercial tho<ed><U+00A0><U+00BC><ed><U+00BC><U+0088>","0","FALSE"
"146","Skittles commercial was the best so far lol","0","FALSE"
"147","Hilarious Skittles commercial.<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"148","That Cruise commercial made me really emotional and now I want to go to the ocean.","0","FALSE"
"149","Does anyone else think that Carnival commercial was reminiscent of the ""Farmer"" Dodge commercial from a couple years ago?","0","FALSE"
"150","Thought that commercial was gonna be about who can beat off quicker<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"151","Carnival Cruise commercial had me like ... #SuperBowlXLIX http://t.co/g7jCTFTfy2","4","FALSE"
"152","That skittles commercial was hilarious","0","FALSE"
"153","Best skittles commercial ever.","0","FALSE"
"154","OMG at that Skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"155","That skittle commercial","0","FALSE"
